Month,Consumption
Aug-24,2720957
Jul-24,2746665
Jun-24,2431125
May-24,2334424
Apr-24,2395100
Mar-24,2799534
Feb-24,2971102
Jan-24,3701624
Dec-23,3168961
Nov-23,2822149
Oct-23,2437991
Sep-23,2373300
Aug-23,2673229
Jul-23,2665749
Jun-23,2363345
May-23,2314735
Apr-23,2420997
Mar-23,3013637
Feb-23,2948464
Jan-23,3303525
Dec-22,3375867
Nov-22,2766953
Oct-22,2363706
Sep-22,2287981
Aug-22,2559333
Jul-22,2582825
Jun-22,2316782
May-22,2241399
Apr-22,2360385
Mar-22,2780564
Feb-22,3059140
Jan-22,3593297
Dec-21,3008222
Nov-21,2684978
Oct-21,2259328
Sep-21,2138211
Aug-21,2436266
Jul-21,2417590
Jun-21,2242031
May-21,2116420
Apr-21,2271622
Mar-21,2640102
Feb-21,3095717
Jan-21,3335219
Dec-20,3188152
Nov-20,2446546
Oct-20,2320505
Sep-20,2156948
Aug-20,2404283
Jul-20,2468300
Jun-20,2134224
May-20,2076671
Apr-20,2263569
Mar-20,2725503
Feb-20,3062299
Jan-20,3327245
Dec-19,3170717
Nov-19,2783754
Oct-19,2306544
Sep-19,2206252
Aug-19,2433924
Jul-19,2393904
Jun-19,2119341
May-19,2133985
Apr-19,2212386
Mar-19,2927812
Feb-19,3019120
Jan-19,3424302
Dec-18,2999510
Nov-18,2715942
Oct-18,2285854
Sep-18,2156063
Aug-18,2313836
Jul-18,2350719
Jun-18,2063144
May-18,2055019
Apr-18,2350481
Mar-18,2796708
Feb-18,2710719
Jan-18,3340935
Dec-17,3086015
Nov-17,2357258
Oct-17,2031510
Sep-17,1920466
Aug-17,2093773
Jul-17,2141595
Jun-17,1910441
May-17,1892010
Apr-17,1932042
Mar-17,2523331
Feb-17,2340217
Jan-17,2913823
Dec-16,2866273
Nov-16,2159445
Oct-16,1925203
Sep-16,1947752
Aug-16,2208375
Jul-16,2186616
Jun-16,2000656
May-16,1965799
Apr-16,2083848
Mar-16,2356298
Feb-16,2652260
Jan-16,3091695
Dec-15,2588168
Nov-15,2249140
Oct-15,1987310
Sep-15,1901337
Aug-15,2052728
Jul-15,2067714
Jun-15,1899906
May-15,1858149
Apr-15,2007922
Mar-15,2591329
Feb-15,2925172
Jan-15,3114982
Dec-14,2679165
Nov-14,2357521
Oct-14,1912810
Sep-14,1809291
Aug-14,1933061
Jul-14,1881017
Jun-14,1745351
May-14,1810222
Apr-14,1961678
Mar-14,2557890
Feb-14,2741240
Jan-14,3204129
Dec-13,2920826
Nov-13,2316909
Oct-13,1866762
Sep-13,1766973
Aug-13,1927379
Jul-13,1926330
Jun-13,1742917
May-13,1752469
Apr-13,1967458
Mar-13,2521108
Feb-13,2567155
Jan-13,2878785
Dec-12,2503907
Nov-12,2167841
Oct-12,1901084
Sep-12,1807208
Aug-12,2008815
Jul-12,2069773
Jun-12,1868356
May-12,1873835
Apr-12,1953071
Mar-12,2127761
Feb-12,2500654
Jan-12,2756180
Dec-11,2541878
Nov-11,2031872
Oct-11,1744454
Sep-11,1655634
Aug-11,1891783
Jul-11,1890515
Jun-11,1657334
May-11,1667396
Apr-11,1825023
Mar-11,2230493
Feb-11,2452403
Jan-11,2888640
Dec-10,2714054
Nov-10,1973294
Oct-10,1664938
Sep-10,1637491
Aug-10,1878926
Jul-10,1825828
Jun-10,1649515
May-10,1617274
Apr-10,1691813
Mar-10,2142925
Feb-10,2480950
Jan-10,2809788
Dec-09,2491864
Nov-09,1776171
Oct-09,1666520
Sep-09,1574975
Aug-09,1736462
Jul-09,1657997
Jun-09,1527833
May-09,1504000
Apr-09,1741293
Mar-09,2170709
Feb-09,2332539
Jan-09,2729715
Dec-08,2399702
Nov-08,1868947
Oct-08,1635827
Sep-08,1460924
Aug-08,1682924
Jul-08,1708641
Jun-08,1604249
May-08,1576387
Apr-08,1823867
Mar-08,2278151
Feb-08,2503421
Jan-08,2733970
Dec-07,2399154
Nov-07,1834529
Oct-07,1627791
Sep-07,1590484
Aug-07,1896137
Jul-07,1659882
Jun-07,1555226
May-07,1559080
Apr-07,1810079
Mar-07,2128845
Feb-07,2566993
Jan-07,2475594
Dec-06,2122784
Nov-06,1765375
Oct-06,1644231
Sep-06,1462070
Aug-06,1751683
Jul-06,1758733
Jun-06,1550879
May-06,1526297
Apr-06,1681005
Mar-06,2126369
Feb-06,2144378
Jan-06,2165268
Dec-05,2326360
Nov-05,1663400
Oct-05,1428227
Sep-05,1422495
Aug-05,1695102
Jul-05,1686609
Jun-05,1534122
May-05,1522613
Apr-05,1724877
Mar-05,2205787
Feb-05,2242986
Jan-05,2561858
Dec-04,2327730
Nov-04,1782796
Oct-04,1557224
Sep-04,1482150
Aug-04,1577962
Jul-04,1584933
Jun-04,1483684
May-04,1573043
Apr-04,1745171
Mar-04,2100921
Feb-04,2511097
Jan-04,2675834
Dec-03,2263659
Nov-03,1753642
Oct-03,1553189
Sep-03,1428554
Aug-03,1651580
Jul-03,1600484
Jun-03,1368369
May-03,1514697
Apr-03,1743530
Mar-03,2197936
Feb-03,2500315
Jan-03,2700545
Dec-02,2378895
Nov-02,1913629
Oct-02,1645873
Sep-02,1542170
Aug-02,1725712
Jul-02,1748435
Jun-02,1591373
May-02,1611453
Apr-02,1880985
Mar-02,2258431
Feb-02,2242427
Jan-02,2487638
Dec-01,2120198
Nov-01,1700950
Oct-01,1649073
Sep-01,1494128
Aug-01,1669178
Jul-01,1598071
Jun-01,1444378
May-01,1522382
Apr-01,1807170
Mar-01,2246633
Feb-01,2309464
Jan-01,2676998
